date,s1_trade_date,s1_total,s2_raw_score,s2_adjusted_score,s2_total,s2_industry,s2_style,s2_total_with_style,style_level,style_regime,style_data_status,s2_level,combination_observation,available_weight,missing_indicator_count,pending_indicator_count,proxy_indicator_count,stale_indicator_count,missing_data,s2_raw_total,s2_adjusted_total,formal_rating,explanation_status,official_usable_weight,s2_event_score,s2_event_state,s2_event_rating,s2_conversion_score,s2_conversion_state,s2_conversion_rating,final_view,final_view_code,final_view_sub_code,industry_event_state,conversion_state,a_share_temperature_state,hk_observation_state,hk_relative_state,policy_risk_state,macro_risk_state,main_positive_factors,main_negative_factors,next_validation_dates,hk_observation_available,hk_observation_excess_159567_vs_159557,hk_observation_relative_state,next_s2_04_validation_date,days_to_next_s2_04_validation,pending_mature_event_count_next_date,s1_structure_quality,s1_breadth_state,flow_score_contribution,price_strength_contribution,volume_contribution,breadth_contribution,leader_contribution
2026-05-30,20260529,0.4600,0.4800,0.4800,0.4800,,,,,,,低于预期,S1与S2均未达到符合预期,0.2000,4,,0,0,前4个完整90日窗口无重大BD基准，S2-01不评分；去年同期90日BD金额基准缺失，S2-02不评分；具备一致预期来源的业绩样本缺失；9926.HK待满5个交易日验证，且589720.SH/159557.SZ事件后行情不足；6990.HK待满5个交易日验证，且589720.SH/159557.SZ事件后行情不足；589720.SH待满5个交易日验证,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-31,20260529,0.4600,0.4800,0.4800,0.4800,,,,,,,低于预期,S1与S2均未达到符合预期,0.2000,4,,0,0,前4个完整90日窗口无重大BD基准，S2-01不评分；去年同期90日BD金额基准缺失，S2-02不评分；具备一致预期来源的业绩样本缺失；9926.HK待满5个交易日验证，且589720.SH/159557.SZ事件后行情不足；6990.HK待满5个交易日验证，且589720.SH/159557.SZ事件后行情不足；589720.SH待满5个交易日验证,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-01,20260601,0.4000,0.5000,0.4900,0.4900,,,,,,,低于预期,S1与S2均未达到符合预期,0.6000,1,1,0,0,具备一致预期来源的业绩样本缺失；9926.HK待满5个交易日验证；6990.HK待满5个交易日验证；688192.SH待满5个交易日验证；9966.HK待满5个交易日验证；589720.SH待满5个交易日验证,0.5000,0.4900,低于预期,事件密集但交易样本未成熟；业绩验证缺数据；A股龙头接力偏弱；产业事件有效，交易转化待验证,0.6000,,,,,,,E/D：事件密集但交易样本未成熟；A股温度计弱；S2 adjusted_score=0.49；HK_observation 数据滞后，不判断 159567 是否强于 159557。,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02,20260602,0.4000,0.5600,0.5600,0.5600,,,,,,,低于预期,S1与S2均未达到符合预期,0.6000,1,1,0,0,具备一致预期来源的业绩样本缺失；9926.HK为港股事件；MVP不抓港股个股，仅列观察，不进入S2-04正式得分；6990.HK待满5个交易日验证；9926.HK待满5个交易日验证；688192.SH待满5个交易日验证；9966.HK待满5个交易日验证；2096.HK待满5个交易日验证；6855.HK待满5个交易日验证；589720.SH待满5个交易日验证,0.5600,0.5600,低于预期,事件密集但交易样本未成熟；业绩验证缺数据；A股龙头接力偏弱；产业事件有效，交易转化待验证,0.6000,0.6333,符合预期,,0.4500,交易转化待验证,,E/D；产业事件侧符合预期，BD频率与金额质量均符合预期；交易转化待验证，S2-04无成熟样本，S2-05低于预期；A股温度计弱，S1=0.40；stale，HK_observation 数据滞后，不判断 159567 是否强于 159557。,E/D,,产业事件侧符合预期，BD频率与金额质量均符合预期,交易转化待验证，S2-04无成熟样本，S2-05低于预期,A股温度计弱，S1=0.40,stale，HK_observation 数据滞后，不判断 159567 是否强于 159557。,,,,,,,,,,,,,,,,,,,
2026-06-03,20260603,0.4360,0.5600,0.5600,0.5600,,,,,,,低于预期,S1与S2均未达到符合预期,0.6000,1,1,0,0,具备一致预期来源的业绩样本缺失；9926.HK为港股事件；MVP不抓港股个股，仅列观察，不进入S2-04正式得分；6990.HK待满5个交易日验证；9926.HK待满5个交易日验证；688192.SH待满5个交易日验证；9966.HK待满5个交易日验证；2096.HK待满5个交易日验证；6855.HK待满5个交易日验证；589720.SH待满5个交易日验证,0.5600,0.5600,低于预期,事件密集但交易样本未成熟；业绩验证缺数据；A股龙头接力偏弱；产业事件有效，交易转化待验证,0.6000,0.6333,符合预期,,0.4500,交易转化待验证,,E/D；产业事件侧符合预期，BD频率与金额质量均符合预期；交易转化待验证，S2-04无成熟样本，S2-05低于预期；A股温度计弱，S1=0.44；stale，HK_observation 数据滞后，不判断 159567 是否强于 159557。,E/D,,产业事件侧符合预期，BD频率与金额质量均符合预期,交易转化待验证，S2-04无成熟样本，S2-05低于预期,A股温度计弱，S1=0.44,stale，HK_observation 数据滞后，不判断 159567 是否强于 159557。,,,,,,,,,,,,,,,,,,,
2026-06-04,20260604,0.6100,0.5600,0.5600,0.5600,,,,,,,低于预期,S1达到符合预期，S2尚未达到,0.6000,1,1,0,0,具备一致预期来源的业绩样本缺失；9926.HK为港股事件；MVP不抓港股个股，仅列观察，不进入S2-04正式得分；6990.HK待满5个交易日验证；9926.HK待满5个交易日验证；688192.SH待满5个交易日验证；9966.HK待满5个交易日验证；2096.HK待满5个交易日验证；6855.HK待满5个交易日验证；589720.SH待满5个交易日验证,0.5600,0.5600,低于预期,事件密集但交易样本未成熟；业绩验证缺数据；A股龙头接力偏弱；产业事件有效，交易转化待验证,0.6000,0.6333,符合预期,符合预期,0.4500,交易转化待验证,交易转化待验证,E/D；产业事件侧符合预期，BD频率与金额质量均符合预期；交易转化待验证，S2-04无成熟样本，S2-05低于预期；A股温度计中性，S1=0.61；valid，港股创新药 ETF 最近 5 个交易日弱于港股医疗宽基。,E/D,,产业事件侧符合预期，BD频率与金额质量均符合预期,交易转化待验证，S2-04无成熟样本，S2-05低于预期,A股温度计中性，S1=0.61,valid，港股创新药 ETF 最近 5 个交易日弱于港股医疗宽基。,159567近5日弱于159557,,,BD频率符合预期；BD金额质量符合预期；产业事件侧得分0.63；HK_observation已修复为valid,S2_conversion_score=0.45；159567跑输159557；S2-05为负；S2-04仍无成熟正式样本,"2026-06-05, 2026-06-08, 2026-06-09, 2026-06-10",,,,2026-06-05,1,2,,,,,,,
2026-06-05,20260605,0.6100,0.5600,0.5600,0.5600,,,,,,,低于预期,S1达到符合预期，S2尚未达到,0.6000,1,1,0,0,具备一致预期来源的业绩样本缺失；missing_price: 9926.HK本地行情缺失，成熟样本暂不进入S2-04正式得分；missing_price: 6990.HK本地行情缺失，成熟样本暂不进入S2-04正式得分；9926.HK待满5个交易日验证；688192.SH待满5个交易日验证；9966.HK待满5个交易日验证；2096.HK待满5个交易日验证；6855.HK待满5个交易日验证；6990.HK待满5个交易日验证；01801.HK待满5个交易日验证；589720.SH待满5个交易日验证,0.5600,0.5600,低于预期,事件密集但交易样本未成熟；业绩验证缺数据；A股龙头接力偏弱；产业事件有效，交易转化待验证,0.6000,0.6333,符合预期,符合预期,0.4500,交易转化待验证,交易转化待验证,E/D；产业事件侧符合预期，BD频率与金额质量均符合预期；交易转化待验证，S2-04无成熟样本，S2-05低于预期；A股温度计中性，S1=0.61；valid，港股创新药 ETF 最近 5 个交易日弱于港股医疗宽基。,E/D,,产业事件侧符合预期，BD频率与金额质量均符合预期,交易转化待验证，S2-04无成熟样本，S2-05低于预期,A股温度计中性，S1=0.61,valid，港股创新药 ETF 最近 5 个交易日弱于港股医疗宽基。,159567近5日弱于159557,,,BD频率符合预期；BD金额质量符合预期；产业事件侧得分0.63；HK_observation已修复为valid,S2_conversion_score=0.45；159567跑输159557；S2-05为负；S2-04仍无成熟正式样本,"2026-06-08, 2026-06-09, 2026-06-10, 2026-06-11",true,-0.02477052,港股创新药ETF弱于港股医疗宽基,2026-06-08,3,4,,,,,,,
2026-06-06,20260605,0.6100,0.5400,0.5400,0.5400,,,,,,,低于预期,S1达到符合预期，S2尚未达到,0.8000,1,0,0,0,具备一致预期来源的业绩样本缺失；9926.HK待满5个交易日验证；688192.SH待满5个交易日验证；9966.HK待满5个交易日验证；2096.HK待满5个交易日验证；6855.HK待满5个交易日验证；6990.HK待满5个交易日验证；01801.HK待满5个交易日验证；589720.SH待满5个交易日验证,0.5400,0.5400,低于预期,业绩验证缺数据；A股龙头接力偏弱,0.8000,0.6333,符合预期,符合预期,0.4000,弱,弱,C；产业事件侧符合预期，BD频率与金额质量均符合预期；交易转化偏弱；A股温度计中性，S1=0.61；valid，港股创新药 ETF 最近 5 个交易日弱于港股医疗宽基。,C,,产业事件侧符合预期，BD频率与金额质量均符合预期,交易转化偏弱,A股温度计中性，S1=0.61,valid，港股创新药 ETF 最近 5 个交易日弱于港股医疗宽基。,159567近5日弱于159557,,,BD频率符合预期；BD金额质量符合预期；产业事件侧得分0.63；HK_observation已修复为valid,S2_conversion_score=0.40；159567跑输159557；S2-05为负,"2026-06-08, 2026-06-09, 2026-06-10, 2026-06-11",true,-0.02477052,港股创新药ETF弱于港股医疗宽基,2026-06-08,2,4,,,,,,,
2026-06-08,20260608,0.6760,0.6500,0.6150,0.6150,,,,,,,符合预期,S1/S2总分达到符合预期，但关键交易确认项仍未达标。,0.9000,1,0,0,0,具备一致预期来源的业绩样本缺失；2096.HK待满5个交易日验证；6990.HK待满5个交易日验证；01801.HK待满5个交易日验证；589720.SH待满5个交易日验证,0.6500,0.6150,符合预期,一致预期验证缺数据；财报客观改善有效，但不能冒充超一致预期,0.9000,0.6375,符合预期,符合预期,0.5500,交易转化修复中，但未确认,交易转化修复中，但未确认,产业事件侧符合预期，但交易转化修复未确认；S1总分改善但广度坍缩；S2-04样本数量满足但成功率为0；159567同步行情已恢复，近5日相对159557仍偏弱，因此159567是否右侧仍需继续验证。,C,C1,产业事件侧符合预期，BD频率与金额质量均符合预期,交易转化修复中，但未确认,A股温度计中性，S1=0.68,latest_valid，港股创新药 ETF 最近 5 个交易日弱于港股医疗宽基。,159567近5日弱于159557,政策风险升高,risk_off_defensive=true；ai_crowding_unwind=true；biotech_relative_strength=false；hk_innovation_vs_health=negative,BD频率符合预期；BD金额质量符合预期；产业事件侧得分0.64；HK_observation=latest_valid,S2_conversion_score=0.55，修复但未确认；S1-05=6.67%，breadth_collapse；S2-04 success_rate=0.00%；159567跑输159557；Policy_Risk_Layer=risk_up,"2026-06-09, 2026-06-10, 2026-06-11",true,-0.01503139,港股创新药ETF弱于港股医疗宽基,2026-06-09,1,1,weak_breadth_repair,breadth_collapse,0.4000,0.0800,0.0560,0.0560,0.0840
2026-06-09,20260609,0.6760,0.6500,0.6150,0.6150,,,,,,,符合预期,S1/S2总分达到符合预期，但关键交易确认项仍未达标。,0.9000,1,0,0,0,具备一致预期来源的业绩样本缺失；6990.HK待满5个交易日验证；01801.HK待满5个交易日验证；589720.SH待满5个交易日验证,0.6500,0.6150,符合预期,一致预期验证缺数据；财报客观改善有效，但不能冒充超一致预期,0.9000,0.6375,符合预期,符合预期,0.5500,交易转化修复中，但未确认,交易转化修复中，但未确认,C；C1；产业事件侧符合预期，BD频率与金额质量均符合预期；交易转化修复中，但未确认；A股温度计中性，S1=0.68；latest_valid，港股创新药 ETF 最近 5 个交易日强于港股医疗宽基。；政策风险升高；risk_off_defensive=false；ai_crowding_unwind=false；biotech_relative_strength=true；hk_innovation_vs_health=positive,C,C1,产业事件侧符合预期，BD频率与金额质量均符合预期,交易转化修复中，但未确认,A股温度计中性，S1=0.68,latest_valid，港股创新药 ETF 最近 5 个交易日强于港股医疗宽基。,159567近5日强于159557,政策风险升高,risk_off_defensive=false；ai_crowding_unwind=false；biotech_relative_strength=true；hk_innovation_vs_health=positive,BD频率符合预期；BD金额质量符合预期；产业事件侧得分0.64；HK_observation=latest_valid,S2_conversion_score=0.55，修复但未确认；Policy_Risk_Layer=risk_up,"2026-06-10, 2026-06-11",true,0.00378972,港股创新药ETF强于港股医疗宽基,2026-06-10,1,1,weak_breadth_repair,weak_breadth,0.4000,0.0800,0.0560,0.0560,0.0840
