event_id,event_type,event_subtype,date,published_at,effective_trade_date,discovered_at,company,ticker,asset,event_relevance_to_159567,partner,upfront_usd,near_term_milestone_usd,long_term_milestone_usd,total_value_usd,rights_scope,is_major_bd,materiality_reason,source_url,source_urls,source_tier,importance,status,verification_status,market_validation_status,related_event_id,is_duplicate,duplicate_of,event_stage,note
562423f74ade9936,bd,BD,2026-05-28,2026-05-28,2026-05-28,2026-05-28,信达生物,01801.HK,12 early-stage and de novo oncology programs,medium,Pfizer,650000000,0,,10500000000,global,true,,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-innovent-biologics-enter-global-strategic,"[""https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-innovent-biologics-enter-global-strategic""]",1,high,active,confirmed,pending,,false,,,Pfizer官方披露与信达建立全球肿瘤药物研发合作
a09f98bca5365062,bd,BD,2026-05-12,2026-05-12,2026-05-12,2026-05-12,恒瑞医药,600276.SH,oncology hematology immunology portfolio,medium,Bristol Myers Squibb,600000000,350000000,,15200000000,global,true,,https://news.bms.com/news/details/2026/Bristol-Myers-Squibb-and-Hengrui-Pharma-Announce-Strategic-Agreements-to-Advance-Innovative-Medicines-Across-Oncology-Hematology-and-Immunology-2026-EbQpaI6Zdc/default.aspx,"[""https://news.bms.com/news/details/2026/Bristol-Myers-Squibb-and-Hengrui-Pharma-Announce-Strategic-Agreements-to-Advance-Innovative-Medicines-Across-Oncology-Hematology-and-Immunology-2026-EbQpaI6Zdc/default.aspx""]",1,high,active,confirmed,pending,,false,,,BMS官方披露与恒瑞达成战略合作；近期周年付款按公开IR材料计入near-term
12413b1bbe23f826,bd,BD,2025-03-24,2025-03-24,2025-03-24,2026-06-01,联邦制药,3933.HK,UBT251,medium,Novo Nordisk,200000000,0,1800000000,2000000000,global excluding Greater China,true,首付款2亿美元，总交易额20亿美元,https://www.novonordisk.com/news-and-media/news-and-ir-materials/news-details.html?id=915958,"[""https://www.novonordisk.com/news-and-media/news-and-ir-materials/news-details.html?id=915958""]",1,high,active,confirmed,pending,,false,,,诺和诺德官方披露取得UBT251全球独家许可（大中华区除外）
12577ab266d9d6b6,bd,BD,2025-03-25,2025-03-25,2025-03-25,2026-06-01,恒瑞医药,600276.SH,HRS-5346,medium,Merck,200000000,0,1770000000,1970000000,worldwide excluding Greater China,true,首付款2亿美元，潜在里程碑17.7亿美元,https://www.merck.com/news/merck-secures-exclusive-worldwide-license-for-investigational-lipoproteina-inhibitor-from-jiangsu-hengrui-pharmaceuticals/,"[""https://www.merck.com/news/merck-secures-exclusive-worldwide-license-for-investigational-lipoproteina-inhibitor-from-jiangsu-hengrui-pharmaceuticals/""]",1,high,active,confirmed,pending,,false,,,默沙东官方披露取得HRS-5346大中华区外全球独家许可
9ae105b23427e6bc,bd,BD,2025-05-20,2025-05-20,2025-05-20,2026-06-01,三生制药,1530.HK,SSGJ-707,medium,Pfizer,1250000000,0,4800000000,6050000000,global excluding China,true,首付款12.5亿美元，潜在里程碑48亿美元,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-enters-exclusive-global-licensing-agreement-3sbio,"[""https://www.pfizer.com/news/press-release/press-release-detail/pfizer-enters-exclusive-global-licensing-agreement-3sbio""]",1,high,active,confirmed,pending,,false,,,辉瑞官方披露取得SSGJ-707中国内地外全球独家许可
68e9aa1b971eed4c,bd,BD,2025-07-28,2025-07-28,2025-07-28,2026-06-01,恒瑞医药,600276.SH,HRS-9821 and up to 11 additional programs,medium,GSK,500000000,0,12000000000,12500000000,"worldwide excluding mainland China, Hong Kong, Macau and Taiwan",true,首付款5亿美元，潜在里程碑约120亿美元,https://www.gsk.com/en-gb/media/press-releases/gsk-enters-agreement-to-develop-up-to-12-innovative-medicines-from-hengrui-pharma/,"[""https://www.gsk.com/en-gb/media/press-releases/gsk-enters-agreement-to-develop-up-to-12-innovative-medicines-from-hengrui-pharma/""]",1,high,active,confirmed,pending,,false,,,GSK官方披露与恒瑞合作开发至多12个创新药项目
f5002ed4bc8253ba,bd,BD,2025-10-08,2025-10-08,2025-10-08,2026-06-01,诺诚健华,9969.HK,ICP-B02,medium,Zenas BioPharma,0,100000000,1900000000,2000000000,worldwide excluding Greater China,true,首付款及近期里程碑合计1亿美元，总交易额超20亿美元,https://ir.zenasbio.com/news-releases/news-release-details/zenas-biopharma-and-innocare-announce-exclusive-global-license/,"[""https://ir.zenasbio.com/news-releases/news-release-details/zenas-biopharma-and-innocare-announce-exclusive-global-license/""]",1,high,active,confirmed,pending,,false,,,Zenas官方披露取得ICP-B02大中华区外全球独家许可
b5486fbb49b8bb4c,bd,BD,2025-10-17,2025-10-17,2025-10-17,2026-06-01,翰森制药,3692.HK,HS-20110,medium,Roche,80000000,0,,,"worldwide excluding mainland China, Hong Kong and Macau",true,首付款8000万美元,https://www.hspharm.com/newsdetails-251.html,"[""https://www.hspharm.com/newsdetails-251.html""]",1,high,active,confirmed,pending,,false,,,翰森制药官网披露向Roche授予HS-20110海外独家许可
8ce16224bc212921,bd,BD,2025-10-21,2025-10-21,2025-10-21,2026-06-01,信达生物,1801.HK,"IBI363, IBI343 and IBI3001",medium,Takeda,1200000000,0,10200000000,11400000000,global strategic collaboration and licensing options,true,首付款12亿美元，潜在里程碑102亿美元,https://www.takeda.com/newsroom/newsreleases/2025/takeda-and-innovent-biologics-enter-into-global-strategic-partnership/,"[""https://www.takeda.com/newsroom/newsreleases/2025/takeda-and-innovent-biologics-enter-into-global-strategic-partnership/""]",1,high,active,confirmed,pending,,false,,,Takeda官方披露与信达围绕三项肿瘤项目建立全球战略合作
1feb1d8afb32687e,bd,BD,2025-12-22,2025-12-22,2025-12-22,2026-06-01,荃信生物,2509.HK,WIN027 / QX027N,medium,Windward Bio,0,0,,700000000,global exclusive license,true,总交易额最高7亿美元,https://www.globenewswire.com/news-release/2025/12/22/3209239/0/en/Windward-Bio-Announces-Up-to-700-Million-Global-Exclusive-License-Agreement-with-Qyuns-Therapeutics-for-WIN027.html,"[""https://www.globenewswire.com/news-release/2025/12/22/3209239/0/en/Windward-Bio-Announces-Up-to-700-Million-Global-Exclusive-License-Agreement-with-Qyuns-Therapeutics-for-WIN027.html""]",2,high,active,confirmed,pending,,false,,,Windward Bio新闻稿披露取得WIN027全球独家许可
