asset,company,confidence,data_category,date,discovered_at,duplicate_of,effective_trade_date,error_message,event_id,event_relevance_to_159567,event_stage,event_subtype,event_type,fetched_at,importance,is_duplicate,is_major_bd,long_term_milestone_usd,market_validation_status,materiality_reason,near_term_milestone_usd,note,partner,published_at,raw_text_excerpt,related_event_id,requires_human_verification,rights_scope,source_date,source_name,source_status,source_tier,source_type,source_url,source_urls,status,ticker,total_value_usd,upfront_usd,verification_status
12 early-stage and de novo oncology programs,信达生物,medium,bd,2026-05-28,2026-05-28,,2026-05-28,,562423f74ade9936,medium,,BD,bd,,high,false,true,,pending,,0,Pfizer官方披露与信达建立全球肿瘤药物研发合作,Pfizer,2026-05-28,Pfizer官方披露与信达建立全球肿瘤药物研发合作,,true,global,2026-05-28,1,present_not_reverified,1,not_reverified_this_run,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-innovent-biologics-enter-global-strategic,"[""https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-innovent-biologics-enter-global-strategic""]",active,01801.HK,10500000000,650000000,confirmed
oncology hematology immunology portfolio,恒瑞医药,medium,bd,2026-05-12,2026-05-12,,2026-05-12,,a09f98bca5365062,medium,,BD,bd,,high,false,true,,pending,,350000000,BMS官方披露与恒瑞达成战略合作；近期周年付款按公开IR材料计入near-term,Bristol Myers Squibb,2026-05-12,BMS官方披露与恒瑞达成战略合作；近期周年付款按公开IR材料计入near-term,,true,global,2026-05-12,1,present_not_reverified,1,not_reverified_this_run,https://news.bms.com/news/details/2026/Bristol-Myers-Squibb-and-Hengrui-Pharma-Announce-Strategic-Agreements-to-Advance-Innovative-Medicines-Across-Oncology-Hematology-and-Immunology-2026-EbQpaI6Zdc/default.aspx,"[""https://news.bms.com/news/details/2026/Bristol-Myers-Squibb-and-Hengrui-Pharma-Announce-Strategic-Agreements-to-Advance-Innovative-Medicines-Across-Oncology-Hematology-and-Immunology-2026-EbQpaI6Zdc/default.aspx""]",active,600276.SH,15200000000,600000000,confirmed
UBT251,联邦制药,medium,bd,2025-03-24,2026-06-01,,2025-03-24,,12413b1bbe23f826,medium,,BD,bd,,high,false,true,1800000000,pending,首付款2亿美元，总交易额20亿美元,0,诺和诺德官方披露取得UBT251全球独家许可（大中华区除外）,Novo Nordisk,2025-03-24,诺和诺德官方披露取得UBT251全球独家许可（大中华区除外）,,true,global excluding Greater China,2025-03-24,1,present_not_reverified,1,not_reverified_this_run,https://www.novonordisk.com/news-and-media/news-and-ir-materials/news-details.html?id=915958,"[""https://www.novonordisk.com/news-and-media/news-and-ir-materials/news-details.html?id=915958""]",active,3933.HK,2000000000,200000000,confirmed
HRS-5346,恒瑞医药,medium,bd,2025-03-25,2026-06-01,,2025-03-25,,12577ab266d9d6b6,medium,,BD,bd,,high,false,true,1770000000,pending,首付款2亿美元，潜在里程碑17.7亿美元,0,默沙东官方披露取得HRS-5346大中华区外全球独家许可,Merck,2025-03-25,默沙东官方披露取得HRS-5346大中华区外全球独家许可,,true,worldwide excluding Greater China,2025-03-25,1,present_not_reverified,1,not_reverified_this_run,https://www.merck.com/news/merck-secures-exclusive-worldwide-license-for-investigational-lipoproteina-inhibitor-from-jiangsu-hengrui-pharmaceuticals/,"[""https://www.merck.com/news/merck-secures-exclusive-worldwide-license-for-investigational-lipoproteina-inhibitor-from-jiangsu-hengrui-pharmaceuticals/""]",active,600276.SH,1970000000,200000000,confirmed
SSGJ-707,三生制药,medium,bd,2025-05-20,2026-06-01,,2025-05-20,,9ae105b23427e6bc,medium,,BD,bd,,high,false,true,4800000000,pending,首付款12.5亿美元，潜在里程碑48亿美元,0,辉瑞官方披露取得SSGJ-707中国内地外全球独家许可,Pfizer,2025-05-20,辉瑞官方披露取得SSGJ-707中国内地外全球独家许可,,true,global excluding China,2025-05-20,1,present_not_reverified,1,not_reverified_this_run,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-enters-exclusive-global-licensing-agreement-3sbio,"[""https://www.pfizer.com/news/press-release/press-release-detail/pfizer-enters-exclusive-global-licensing-agreement-3sbio""]",active,1530.HK,6050000000,1250000000,confirmed
HRS-9821 and up to 11 additional programs,恒瑞医药,medium,bd,2025-07-28,2026-06-01,,2025-07-28,,68e9aa1b971eed4c,medium,,BD,bd,,high,false,true,12000000000,pending,首付款5亿美元，潜在里程碑约120亿美元,0,GSK官方披露与恒瑞合作开发至多12个创新药项目,GSK,2025-07-28,GSK官方披露与恒瑞合作开发至多12个创新药项目,,true,"worldwide excluding mainland China, Hong Kong, Macau and Taiwan",2025-07-28,1,present_not_reverified,1,not_reverified_this_run,https://www.gsk.com/en-gb/media/press-releases/gsk-enters-agreement-to-develop-up-to-12-innovative-medicines-from-hengrui-pharma/,"[""https://www.gsk.com/en-gb/media/press-releases/gsk-enters-agreement-to-develop-up-to-12-innovative-medicines-from-hengrui-pharma/""]",active,600276.SH,12500000000,500000000,confirmed
ICP-B02,诺诚健华,medium,bd,2025-10-08,2026-06-01,,2025-10-08,,f5002ed4bc8253ba,medium,,BD,bd,,high,false,true,1900000000,pending,首付款及近期里程碑合计1亿美元，总交易额超20亿美元,100000000,Zenas官方披露取得ICP-B02大中华区外全球独家许可,Zenas BioPharma,2025-10-08,Zenas官方披露取得ICP-B02大中华区外全球独家许可,,true,worldwide excluding Greater China,2025-10-08,1,present_not_reverified,1,not_reverified_this_run,https://ir.zenasbio.com/news-releases/news-release-details/zenas-biopharma-and-innocare-announce-exclusive-global-license/,"[""https://ir.zenasbio.com/news-releases/news-release-details/zenas-biopharma-and-innocare-announce-exclusive-global-license/""]",active,9969.HK,2000000000,0,confirmed
HS-20110,翰森制药,medium,bd,2025-10-17,2026-06-01,,2025-10-17,,b5486fbb49b8bb4c,medium,,BD,bd,,high,false,true,,pending,首付款8000万美元,0,翰森制药官网披露向Roche授予HS-20110海外独家许可,Roche,2025-10-17,翰森制药官网披露向Roche授予HS-20110海外独家许可,,true,"worldwide excluding mainland China, Hong Kong and Macau",2025-10-17,1,present_not_reverified,1,not_reverified_this_run,https://www.hspharm.com/newsdetails-251.html,"[""https://www.hspharm.com/newsdetails-251.html""]",active,3692.HK,,80000000,confirmed
"IBI363, IBI343 and IBI3001",信达生物,medium,bd,2025-10-21,2026-06-01,,2025-10-21,,8ce16224bc212921,medium,,BD,bd,,high,false,true,10200000000,pending,首付款12亿美元，潜在里程碑102亿美元,0,Takeda官方披露与信达围绕三项肿瘤项目建立全球战略合作,Takeda,2025-10-21,Takeda官方披露与信达围绕三项肿瘤项目建立全球战略合作,,true,global strategic collaboration and licensing options,2025-10-21,1,present_not_reverified,1,not_reverified_this_run,https://www.takeda.com/newsroom/newsreleases/2025/takeda-and-innovent-biologics-enter-into-global-strategic-partnership/,"[""https://www.takeda.com/newsroom/newsreleases/2025/takeda-and-innovent-biologics-enter-into-global-strategic-partnership/""]",active,1801.HK,11400000000,1200000000,confirmed
WIN027 / QX027N,荃信生物,medium,bd,2025-12-22,2026-06-01,,2025-12-22,,1feb1d8afb32687e,medium,,BD,bd,,high,false,true,,pending,总交易额最高7亿美元,0,Windward Bio新闻稿披露取得WIN027全球独家许可,Windward Bio,2025-12-22,Windward Bio新闻稿披露取得WIN027全球独家许可,,true,global exclusive license,2025-12-22,2,present_not_reverified,2,not_reverified_this_run,https://www.globenewswire.com/news-release/2025/12/22/3209239/0/en/Windward-Bio-Announces-Up-to-700-Million-Global-Exclusive-License-Agreement-with-Qyuns-Therapeutics-for-WIN027.html,"[""https://www.globenewswire.com/news-release/2025/12/22/3209239/0/en/Windward-Bio-Announces-Up-to-700-Million-Global-Exclusive-License-Agreement-with-Qyuns-Therapeutics-for-WIN027.html""]",active,2509.HK,700000000,0,confirmed
