asset,company,conference,confidence,data_category,data_judgement,data_type,date,discovered_at,duplicate_of,effective_trade_date,error_message,event_id,event_relevance_to_159567,event_stage,event_subtype,event_type,fetched_at,importance,is_duplicate,market_reaction,market_validation_status,note,phase,published_at,raw_text_excerpt,related_event_id,requires_human_verification,source_date,source_name,source_status,source_tier,source_type,source_url,source_urls,status,ticker,verification_status
ivonescimab HARMONi-6,康方生物,ASCO 2026,medium,clinical,plenary selected,overall survival,2026-05-26,2026-05-26,,2026-05-26,,597026e85b5d1627,medium,,clinical_readout,clinical,,high,false,pending,pending,HARMONi-6 OS数据入选ASCO plenary；已由2026-05-31正式数据替代,Phase III,2026-05-26,HARMONi-6 OS数据入选ASCO plenary；已由2026-05-31正式数据替代,,true,2026-05-26,2,present_not_reverified,2,not_reverified_this_run,https://www.prnewswire.com/news-releases/over-40-studies-featuring-akesos-innovative-oncology-agents-to-be-presented-at-asco-2026-ivonescimabs-harmoni-6-overall-survival-data-selected-for-plenary-session-302781500.html,"[""https://www.prnewswire.com/news-releases/over-40-studies-featuring-akesos-innovative-oncology-agents-to-be-presented-at-asco-2026-ivonescimabs-harmoni-6-overall-survival-data-selected-for-plenary-session-302781500.html""]",superseded,9926.HK,confirmed
sacituzumab tirumotecan (sac-TMT) OptiTROP-Lung05,科伦博泰,ASCO 2026,medium,clinical,PFS HR=0.35 versus pembrolizumab monotherapy; OS positive trend HR=0.55,progression-free survival,2026-05-29,2026-05-29,,2026-05-29,,d54da8096bbdfc8a,medium,,clinical_readout,clinical,,high,false,pending,pending,OptiTROP-Lung05口头报告并同步发表于The Lancet；PFS显著获益，OS尚未成熟,Phase III,2026-05-29,OptiTROP-Lung05口头报告并同步发表于The Lancet；PFS显著获益，OS尚未成熟,,true,2026-05-29,2,present_not_reverified,2,not_reverified_this_run,https://www.prnewswire.com/news-releases/the-results-of-phase-iii-optitrop-lung05-study-of-sacituzumab-tirumotecan-sac-tmt-presented-as-an-asco-oral-presentation-and-simultaneously-published-in-the-lancet-302786204.html,"[""https://www.prnewswire.com/news-releases/the-results-of-phase-iii-optitrop-lung05-study-of-sacituzumab-tirumotecan-sac-tmt-presented-as-an-asco-oral-presentation-and-simultaneously-published-in-the-lancet-302786204.html""]",active,6990.HK,confirmed
lunbotinib fumarate (A400/EP0031),科伦博泰,ASCO 2026,medium,clinical,IRC ORR 81.3% treatment-naive and 87.1% pre-treated; pre-treated mPFS 27.5 months,ORR / PFS,2026-05-29,2026-05-29,,2026-05-29,,f3ce627ef342b5b1,medium,,clinical_readout,clinical,,high,false,pending,pending,RET融合阳性NSCLC关键II期口头报告；NMPA已受理NDA,Pivotal Phase II,2026-05-29,RET融合阳性NSCLC关键II期口头报告；NMPA已受理NDA,,true,2026-05-29,2,present_not_reverified,2,not_reverified_this_run,https://www.prnewswire.com/news-releases/kelun-biotech-presents-pivotal-phase-ii-data-for-lunbotinib-fumarate-a400ep0031-in-ret-fusion-positive-nsclc-at-2026-asco-302786202.html,"[""https://www.prnewswire.com/news-releases/kelun-biotech-presents-pivotal-phase-ii-data-for-lunbotinib-fumarate-a400ep0031-in-ret-fusion-positive-nsclc-at-2026-asco-302786202.html""]",active,6990.HK,confirmed
ivonescimab HARMONi-6,康方生物,ASCO 2026,medium,clinical,OS HR=0.66 and PFS HR=0.60 versus tislelizumab plus chemotherapy,overall survival / progression-free survival,2026-05-31,2026-05-31,,2026-05-31,,2f2d9aee775ace13,medium,,clinical_readout,clinical,,high,false,pending,pending,HARMONi-6头对头III期达到OS和PFS双重显著获益；会后5日交易反应待验证,Phase III,2026-05-31,HARMONi-6头对头III期达到OS和PFS双重显著获益；会后5日交易反应待验证,,true,2026-05-31,2,present_not_reverified,2,not_reverified_this_run,https://www.prnewswire.com/news-releases/harmoni-6-demonstrates-significant-overall-survival-benefit-hr0-66-ivonescimab-plus-chemotherapy-superior-to-pd-1-plus-chemotherapy-in-first-line-sq-nsclc-landmark-results-to-be-presented-at-asco-2026-plenary-session-302786433.html,"[""https://www.prnewswire.com/news-releases/harmoni-6-demonstrates-significant-overall-survival-benefit-hr0-66-ivonescimab-plus-chemotherapy-superior-to-pd-1-plus-chemotherapy-in-first-line-sq-nsclc-landmark-results-to-be-presented-at-asco-2026-plenary-session-302786433.html""]",active,9926.HK,confirmed
DZD6008 and golidocitinib plus anti-PD-1,迪哲医药,ASCO 2026,medium,clinical,DZD6008 tumor shrinkage 82.1%; 6-month PFS 70.6% and 61.8% for 40mg and 60mg cohorts; golidocitinib plus sintilimab showed encouraging durable response,tumor shrinkage / 6-month PFS / anti-tumor response,2026-05-30,2026-06-01,,2026-05-30,,9945f7b99b48372e,medium,,clinical_readout,clinical,,high,false,pending,pending,迪哲医药披露ASCO 2026两项NSCLC研究数据；会后5日交易反应待验证,Phase I/II,2026-05-30,迪哲医药披露ASCO 2026两项NSCLC研究数据；会后5日交易反应待验证,,true,2026-05-30,2,present_not_reverified,2,not_reverified_this_run,https://www.prnewswire.com/news-releases/dizal-presented-positive-data-of-dzd6008-and-golidocitinib-at-the-2026-asco-annual-meeting-showing-potential-to-address-significant-unmet-medical-needs-in-non-small-cell-lung-cancer-302786349.html,"[""https://www.prnewswire.com/news-releases/dizal-presented-positive-data-of-dzd6008-and-golidocitinib-at-the-2026-asco-annual-meeting-showing-potential-to-address-significant-unmet-medical-needs-in-non-small-cell-lung-cancer-302786349.html""]",active,688192.SH,confirmed
anbenitamab (KN026) plus HB1801,康宁杰瑞,ASCO 2026,medium,clinical,BIRC tpCR 62.4% versus 51.2% control; one-sided P=0.0036,tpCR,2026-06-01,2026-06-01,,2026-06-01,,cfa4079d649febbb,medium,,clinical_readout,clinical,,high,false,pending,pending,康宁杰瑞官网披露KN026联合HB1801新辅助治疗HER2阳性乳腺癌III期LBA口头报告；tpCR显著优于对照，市场反应待满5个交易日验证,Phase III,2026-06-01,康宁杰瑞官网披露KN026联合HB1801新辅助治疗HER2阳性乳腺癌III期LBA口头报告；tpCR显著优于对照，市场反应待满5个交易日验证,,true,2026-06-01,1,present_not_reverified,1,not_reverified_this_run,https://www.alphamabonc.com/en/html/news/2808.html,"[""https://www.alphamabonc.com/en/html/news/2808.html""]",active,9966.HK,confirmed
SIM0505 (CDH6 ADC),先声再明,ASCO 2026,medium,clinical,gynecologic cancers ORR 55%; ovarian cancer ORR 52.9%; USC ORR 66.7% in therapeutic dose cohorts,ORR / safety,2026-06-01,2026-06-02,,2026-06-02,,1c4bea2cbf26bfcb,medium,,clinical_readout,clinical,,high,false,pending,pending,NextCure与先声再明披露SIM0505 ASCO 2026 Phase I剂量递增数据；妇科肿瘤治疗剂量队列ORR 55%，会后5日交易反应待验证。,Phase I,2026-06-01,NextCure与先声再明披露SIM0505 ASCO 2026 Phase I剂量递增数据；妇科肿瘤治疗剂量队列ORR 55%，会后5日交易反应待验证。,,true,2026-06-01,2,present_not_reverified,2,not_reverified_this_run,https://www.globenewswire.com/news-release/2026/06/01/3304283/0/en/NextCure-Presents-Positive-SIM0505-Phase-1-Dose-Escalation-Data-in-Patients-with-Gynecologic-Cancers-at-ASCO-2026.html,"[""https://www.globenewswire.com/news-release/2026/06/01/3304283/0/en/NextCure-Presents-Positive-SIM0505-Phase-1-Dose-Escalation-Data-in-Patients-with-Gynecologic-Cancers-at-ASCO-2026.html""]",active,2096.HK,confirmed
olverembatinib (HQP1351) plus blinatumomab,亚盛医药,ASCO 2026,medium,clinical,CR or CRi 91% (10/11); BCR::ABL1 negativity 67% (8/12); flow MRD negativity 80% (8/10),CR/CRi / MRD negativity,2026-05-31,2026-06-02,,2026-06-01,,dc97b051226b620b,medium,,clinical_readout,clinical,,high,false,pending,pending,亚盛医药披露olverembatinib联合blinatumomab ASCO 2026 Phase Ib快速口头报告；CR/CRi 91%，会后5日交易反应待验证。,Phase Ib,2026-05-31,亚盛医药披露olverembatinib联合blinatumomab ASCO 2026 Phase Ib快速口头报告；CR/CRi 91%，会后5日交易反应待验证。,,true,2026-05-31,2,present_not_reverified,2,not_reverified_this_run,https://www.globenewswire.com/news-release/2026/05/31/3303964/0/en/ascentage-pharma-presents-data-on-olverembatinib-in-cml-lbp-and-ph-bcp-all-at-asco-2026.html,"[""https://www.globenewswire.com/news-release/2026/05/31/3303964/0/en/ascentage-pharma-presents-data-on-olverembatinib-in-cml-lbp-and-ph-bcp-all-at-asco-2026.html""]",active,6855.HK,confirmed
SKB500 (B7-H3 ADC),科伦博泰,ASCO 2026,medium,clinical,positive,first-in-human advanced solid tumors,2026-06-02,2026-06-03,,2026-06-03,,dda538163a65da26,medium,,clinical_readout,clinical,,high,false,pending_5d,pending,科伦博泰披露SKB500首次人体研究快速口头报告；12mg/kg且随访≥6周样本ORR 42.7%，SCLC ORR 65.0%，会后5日交易反应待验证。,Phase I,2026-06-02,科伦博泰披露SKB500首次人体研究快速口头报告；12mg/kg且随访≥6周样本ORR 42.7%，SCLC ORR 65.0%，会后5日交易反应待验证。,,true,2026-06-02,1,present_not_reverified,1,not_reverified_this_run,https://www.prnewswire.com/news-releases/kelun-biotech-presents-first-in-human-study-data-for-its-novel-b7-h3-adc-skb500-at-asco-2026-302788517.html,"[""https://www.prnewswire.com/news-releases/kelun-biotech-presents-first-in-human-study-data-for-its-novel-b7-h3-adc-skb500-at-asco-2026-302788517.html""]",active,6990.HK,confirmed
IBI343 (arcotatug vedotin),信达生物,,medium,clinical,met primary endpoint in CLDN18.2-positive advanced gastric or gastroesophageal junction adenocarcinoma,primary endpoint / randomized controlled trial,2026-06-04,2026-06-05,,2026-06-04,,f327dfc644490755,medium,pivotal_data,pivotal_data,clinical,,high,false,pending_5d,pending,信达披露IBI343随机对照注册研究达到主要终点；事件后5日交易反应待验证。,Phase III,2026-06-04,信达披露IBI343随机对照注册研究达到主要终点；事件后5日交易反应待验证。,,true,2026-06-04,1,present_not_reverified,1,not_reverified_this_run,https://www.prnewswire.com/news-releases/innovent-announces-new-drug-application-for-worlds-first-cldn18-2-adc-ibi343-arcotatug-vedotin-accepted-and-granted-priority-review-by-nmpa-for-treatment-of-cldn18-2-positive-advanced-gastric-cancer-or-gastroesophageal-junction-adenocarcinoma-302790132.html,"[""https://www.prnewswire.com/news-releases/innovent-announces-new-drug-application-for-worlds-first-cldn18-2-adc-ibi343-arcotatug-vedotin-accepted-and-granted-priority-review-by-nmpa-for-treatment-of-cldn18-2-positive-advanced-gastric-cancer-or-gastroesophageal-junction-adenocarcinoma-302790132.html""]",active,01801.HK,confirmed
